"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"KEAP1",28.67,30.03,41.53,20,27.69,40.71,39.89,33.01,20,43.12,47.82,48.34,45.85,43.43,46.27,41.15,49.91,44.31,20,45.23,43.45,57.28,50.34,40.16,82.42,54.12,86.29,39.36,24.04,20,37.48,29.74,20,20,47.37,20,20,65.69,57.47,39.97,65.13,40.22,58.45,79.01,54.23,54,34.86,25.28,28,55.83,40.36,20,32.98,34.05,20,39.82,20,25.68,20,30.73,29.58,31.85,20,20,37.41,20,33.37,20,23.69,23.02,23.51
"KIR2DL4",20,25.58,28.06,35.56,23.08,40.71,27.93,40.51,50.4,20,25.1,20,32.96,34.74,20,20,20,20,20,20,23.7,20,22.37,23.51,20,20,20,20,27.48,30.59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.83,20,20,20,20,20,20,20,20,20,39.38,23.54,24.42,20,35.49,26.16,27.14,38.16,20,20,20,20,36.09,20.15,23.51
"KIR3DL1",20,22.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.75,20,20,20,20,20,51.46,55.83,22.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.15,20
"KIR3DL2",62.55,61.17,75.21,64.46,62.3,63.98,51.86,45.02,54.13,52.04,65.75,70.75,47.28,53.56,56.27,108.01,160.65,226.88,126.25,123.35,94.79,71.86,229.32,269.36,268.85,72.16,71.22,40.82,92.74,56.6,104.22,118.14,27.87,20,64.09,66.43,148.37,107.91,117.89,37.11,60.69,55.62,72.25,104.22,52.83,62.7,42.43,63.21,50.17,87.74,63.42,20,30.18,47.93,52.37,64.25,20,36.38,34.19,20,22.68,23.89,32.56,49.46,57.4,45.65,33.37,20,40.61,57.56,42.94
"KIR3DL3",20,20,20,20,20,20,20,30.01,20,20,20,20,20,20,20,20,20,20,61.89,20,21.72,20,36.92,26.45,20,20,30.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,38.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"KIR3DS1",52.13,31.14,63.98,56.68,55.38,44.59,33.24,39.01,20,38.66,33.47,28.3,44.42,28.95,33.76,59.15,77.98,173.71,56.94,121.3,77.02,59.36,175.63,191.98,163.86,77.93,27.39,42.28,98.76,36.71,98.73,97.25,20,20,37.62,20,144.66,105.57,95.79,27.6,20,23.1,59.26,73.96,45.78,49.64,20,20,44.34,69.79,57.66,20,20,41.62,36.12,44.34,20,20,31.75,20,20,20,20,20,36.12,44.07,20,20,27.07,43.17,33.74
"KIT",20,32.25,20,42.23,27.69,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.61,20,48.1,48.97,36.3,20,52.05,20,20,20,20,20.9,20,20,20,20,20,20,20,20,20,20,20,20,20,21.77,20,20,20,20,20,20,20,20,20,20,41.35,20,20,20,20,20,20,20,29.67,20,20,20,20,20,20
"KLRB1",43.01,25.58,20,131.14,108.46,40.71,39.89,20,74.66,29.73,25.1,25.94,20,49.22,48.77,39.86,38.99,358.05,205.47,76.07,101.7,176.01,430.68,413.34,104.99,44.74,43.83,20,114.21,85.66,20,29.74,44.12,55.2,20,50.8,96.44,20,29.47,106.57,41.44,80.44,67.38,57.15,21.83,32.22,89.41,112.62,95.68,45.86,61.5,63.63,50.53,63.06,20,34.39,49.23,124.11,67.16,20,20,51.19,94.97,84.8,20,39.35,55.07,82.4,91.36,25.9,36.8
"KLRC1",194.17,145.69,134.7,167.82,75,93.06,106.38,69.02,63.46,50.55,169.75,101.4,110.33,76.73,50.02,219.88,104.5,352.73,178.24,71.96,461.12,481.16,873.66,803.18,403.28,399.75,186.27,137.77,56.68,74.95,85.02,119.75,91.73,71.77,68.27,64.48,20,77.42,106.1,237.89,133.21,125.79,116.89,194.99,238.77,284.78,115.18,156.29,148.18,97.7,132.61,110.29,72.98,29.01,20,72.4,57.1,115.55,25.64,20,49.29,50.05,123.47,46.64,49.66,83.43,113.47,98.09,65.42,54.68,77.7
"KLRC2",228.06,166.83,322.15,274.51,264.22,118.26,107.71,132.05,67.2,75.82,168.56,104.94,171.94,98.44,90.04,145.3,110.74,464.4,136.16,98.68,180.7,157.26,549.25,519.13,92.23,46.18,56.15,70.71,140.83,159.08,154.5,132.61,76.63,57.96,50.16,97.69,111.28,20,89.89,134.17,56.25,93.27,40.59,147.93,73.25,21.77,116.69,126.41,98.01,193.42,101.86,65.75,89.12,51.71,70.43,80.54,47.26,102.71,26.87,32.19,30.56,65.98,153.32,111.65,87.72,81.85,126.82,109.86,77.83,76.75,76.67
"KLRC3",173.32,172.39,209.9,193.38,176.53,100.81,106.38,84.03,57.86,78.8,95.63,115.55,173.37,96.99,65.03,122.15,141.93,221.57,99.02,119.24,106.64,102.06,44.75,42.12,41.21,41.85,50.68,118.09,163.16,192.73,208.43,174.4,94.05,96.61,73.84,138.72,170.62,77.42,88.42,153.2,47.36,103.54,64.94,189.95,61.28,20,130.33,148.25,80.51,183.45,84.56,95.45,91.23,55.49,84.88,80.54,41.35,142.3,28.09,45.36,44.37,55.74,112.61,83.38,79.98,47.22,121.81,107.9,81.21,89.22,76.67
"KLRD1",1496.05,1059.9,1414.33,721.29,551.51,1039.13,961.43,1065.37,337.85,301.81,2045.38,1449.1,2028.89,477.73,436.43,2212.92,1795.21,1882.42,509.96,485.19,932.11,1687.19,1141.01,644.5,1633.71,990,845.06,1530.74,722.21,601.14,1304.53,1337.32,614.21,529.96,1272.05,543.16,552.67,924.3,1763.93,1503.45,1614.84,636.65,712.73,1800.33,1863,937.95,992.64,641.26,870.42,1740.74,1458.69,644.79,332.64,433.86,684.45,1095.9,385.93,806.73,390.76,706.69,696.05,451.6,537.28,587.92,1244.2,686.29,592.38,413.94,523.37,1149.27,861.82
"KLRF1",363.59,419.29,365.93,326.75,218.07,255.9,296.54,213.07,136.26,98.13,468.61,458.67,501.49,225.84,151.31,432.04,478.83,375.78,141.11,156.25,208.34,387.43,341.18,218.43,398.37,279.97,216.4,510.25,274.8,186.61,372.07,323.88,212.48,201.49,314.88,115.28,166.91,265.09,422.93,628.03,415.92,207.94,306.04,465.63,397.25,221.21,406.15,212.6,348.87,400.79,207.56,246.04,136.14,142.52,195.04,282.34,137.83,212.92,152.64,166.8,116.34,139.92,132.96,237.43,272.83,166.85,230.28,111.82,199.65,262.85,198.33
"KLRF2",20,20,20,26.67,26.54,20,20,20,20,29.73,27.49,28.3,20,20,33.76,39.86,46.79,265.88,108.92,41.12,157.98,151.01,601.83,557.33,96.16,52.67,41.09,21.14,20,20,20,20,20,20,32.05,20,20,20,38.31,20.93,39.96,33.37,26.79,20,27.47,26.13,33.34,20,40.84,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.82,20.15,25.56
"KLRG1",134.23,316.97,172.86,168.93,101.53,75.61,211.43,118.54,91.46,92.18,135.08,304.2,127.52,79.62,62.53,115.73,271.39,127.62,118.83,71.96,59.24,165.59,196.88,124.4,55.93,20,54.78,321.46,91.89,97.9,277.91,121.36,92.89,77.29,188.09,50.8,20,126.68,107.57,236.94,204.26,90.71,66.56,383.26,104.95,38.32,192.47,182.72,145.85,422.72,186.42,161.2,170.53,85.76,167.95,154.75,100.42,124.11,78.15,149.24,75.91,106.93,59.7,134.26,176.73,81.85,105.13,56.89,138.74,167.88,82.81
"KLRG2",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"KLRK1",764.97,776.3,867.68,443.44,402.67,399.37,462.76,435.15,216.52,218.55,633.58,623.74,641.91,259.13,241.35,609.49,589.56,437.81,118.83,238.48,210.32,452,248.34,164.55,399.35,508.71,210.92,786.51,528.13,390.05,836.47,700.81,438.89,234.62,305.13,197.34,189.17,368.31,542.29,671.8,307.87,275.54,382.34,653.9,495.86,150.66,681.97,391.88,593.89,787.62,480.47,515.4,227.37,259.81,346.74,429.85,179.18,441.88,180.73,310.18,264.22,293.48,435.52,472.03,500.52,380.92,458.88,313.89,373.35,432.65,423.24
"KNG1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LAG3",46.91,40.04,34.8,22.23,34.61,56.22,58.51,49.52,20,38.66,87.27,61.31,67.34,47.77,55.02,106.72,127.89,92.17,94.07,96.63,186.62,805.06,492.2,516.19,1314.81,1203.59,467.04,76.54,52.38,33.65,60.34,57.86,31.35,71.77,150.47,50.8,152.08,147.79,156.2,89.45,193.9,94.98,327.14,215.17,223.28,607.88,42.43,145.95,200.69,111.66,88.41,20,40.7,36.58,50.57,57.01,20,142.3,76.93,55.6,92.67,50.05,55.63,93.28,158.02,48.8,20,47.08,43.99,83.46,55.21
"LAIR1",400.08,444.87,426.54,465.67,466.13,494.36,426.86,480.17,518.9,483.19,668.25,647.32,439.88,865.71,594,945.09,1152.61,902.22,1183.32,916.93,438.41,519.69,602.95,586.71,901.73,790.12,851.9,495.67,382.14,292.16,422.35,439.61,333.23,1184.12,848.5,1139.08,1264.84,936.03,1121.43,576.64,969.49,664.89,608.83,689.2,712.1,859.57,415.24,481.52,642.89,600.19,468.93,398.75,333.34,417.47,359.38,479.62,252.04,348.8,258.88,283.85,306.61,302.58,259.14,445.18,517.93,328.98,218.6,200.1,315.83,417.3,281.14
"LAIR2",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,42.51,29.38,35.32,21.65,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LAMP3",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LCK",281.49,450.43,332.25,234.5,266.52,257.84,388.3,246.09,154.92,217.06,327.55,389.1,316.66,186.75,237.6,375.46,748.65,476.81,222.8,324.83,414.71,1344.54,709.22,642.54,1596.42,1209.36,562.91,518.27,480.04,261.57,659.12,556.15,227.57,314.66,401.26,310.66,270.77,520.8,692.6,405.36,497.33,298.64,696.5,788.38,711.39,814.28,415.24,341.31,492.38,709.86,513.14,356.33,188.07,215.67,384.66,376.46,183.12,387.32,200.27,258.97,318.45,160.39,230.65,322.22,514.06,289.63,213.59,196.18,323.72,387.57,322.03
"LCP2",768.88,1064.35,892.37,984.69,791.5,1463.69,1763.29,1719.6,1566.04,1636.91,1741.74,2077.55,898.38,2181.64,2174.66,1708.88,2734.14,1722.89,2176.02,2477.35,711.92,1137.29,976.57,828.65,1306.96,746.83,1053.24,1479.72,1183.35,1128.86,1258.82,1350.18,1204.04,2219.2,2362.98,2373.9,1832.35,3089.6,2099.91,974.39,1742.13,1225.38,1138.91,948.07,1133.3,1093.84,851.7,822.83,882.08,1020.92,776.43,723.26,753.7,575.12,821.7,905.86,421.38,490.03,365.12,462.35,537.32,931.63,542.71,713.7,1120.36,738.23,575.69,419.83,488.41,839.4,625.66
"LEF1",188.96,294.73,172.86,260.06,359.98,81.42,212.76,124.54,143.72,242.34,163.77,180.4,106.03,167.93,225.09,101.58,255.79,155.98,235.18,331,100.72,153.1,194.64,173.37,181.52,90.92,78.07,201.18,264.49,252.39,372.98,213.78,131.2,124.21,90.56,179.75,129.82,300.28,159.15,61.85,74.01,117.23,133.94,310.98,128.19,64.45,118.21,125.26,105.01,255.23,161.44,197.25,127.72,83.24,375.63,132.12,78.76,93.08,83.04,127.29,112.39,84.18,122.11,196.44,158.67,170,143.51,139.29,189.5,140.06,214.69
"LGALS3",774.09,1089.93,695.94,1330.33,1036.1,469.16,744.68,738.26,707.42,722.56,688.57,860.73,687.76,739.76,721.55,627.49,820.4,1059.97,925.86,604.43,2700.55,3262.93,2731.72,2102.96,3686.39,3435.41,2355.75,1092.66,967.81,1122.74,802.65,1028.71,2339.58,709.37,721.71,676.03,712.17,626.37,475.98,982.95,1348.41,1156.06,1181.93,1482.63,1944,2486.39,778.96,1052.67,1272.96,907.26,1072.4,916.27,735.46,725.2,657.36,653.37,1189.31,748.95,802.29,536.97,525.48,848.59,432.81,669.88,737.88,465.92,794.29,596.39,507.58,747.31,584.77
"LIF",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.27,29.38,29.44,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LILRA1",134.23,75.63,74.08,136.7,106.15,149.28,74.47,160.56,113.86,170.98,161.38,115.55,149.01,178.06,240.1,149.16,88.9,134.71,153.48,185.03,69.12,42.7,101.8,90.11,55.93,20,20,67.06,60.11,55.07,49.37,60.28,59.22,74.53,161.62,103.55,166.91,107.91,110.52,52.34,65.13,94.13,125.82,57.15,135.94,43.54,20,44.82,54.84,39.88,20,20,20,20,20,30.77,39.38,28.89,30.53,20,26.62,61.43,62.41,93.28,87.07,56.67,38.38,94.17,68.81,47.01,64.41
"LILRA2",104.25,155.7,147.05,240.06,324.21,62.04,136.97,294.1,175.46,498.06,117.15,97.86,166.21,260.58,791.58,212.16,315.06,859.67,554.52,1548.09,477.9,107.27,191.29,625.89,227.64,208.53,146.55,91.84,228.43,284.51,86.85,131.8,308.85,314.66,183.91,423.98,760.39,326.09,277.04,85.64,142.09,147.18,221.61,50.43,61.98,84.48,60.62,64.36,150.51,45.86,63.42,55.15,47.02,119.82,55.98,41.63,66.95,44.94,70.83,35.11,45.35,125.13,77.34,130.02,81.27,44.07,83.43,103.98,87.98,64.27,61.34
"LILRA3",101.65,439.31,83.06,296.74,90,252.03,488.03,306.11,339.71,145.7,407.64,387.92,131.82,508.13,276.37,1154.68,2478.35,2384.05,3084.55,2629.48,921.25,843.59,936.3,834.52,939.99,137.82,929.97,207.74,398.46,431.35,145.35,333.53,1107.67,4038.16,1741.58,3600.91,3801.94,3324.2,2213.38,267.39,1225.56,684.57,716.79,68.92,135.94,675.81,286.43,288.45,427.04,125.62,174.89,265.13,302.46,316.57,222.13,176.47,189.03,89.87,180.73,45.36,51.27,285.52,128.89,149.81,143.19,103.89,253.64,213.84,129.72,167.88,76.67
"LILRA4",37.79,32.25,29.18,41.12,41.54,52.34,59.84,45.02,115.73,83.26,46.62,62.49,40.12,89.76,66.28,59.15,120.1,76.22,133.68,170.64,58.26,39.58,85.02,62.69,109.89,20,67.11,41.55,30.06,41.3,58.51,58.67,49.93,74.53,125.39,72.29,166.91,150.14,126.73,27.6,56.25,41.93,44.65,36.98,40.15,54,40.92,20,32.67,20,20,20,20,32.79,20,21.72,20,20,20,20,21.69,23.89,20,33.92,26.44,20,33.37,20,23.69,25.9,24.54
"LILRA5",57.34,129.01,56.12,150.04,60,104.69,131.65,102.04,145.59,99.61,99.22,158,65.91,180.96,123.8,194.16,609.84,739.14,814.46,524.25,601.33,236.41,330,255.65,569.1,62.78,408.15,153.07,179.48,263.1,110.62,163.95,496.94,1316.61,402.65,1057.02,838.28,588.83,604.19,91.35,250.14,174.56,224.05,38.66,92.97,291.75,98.51,74.7,100.34,20,78.8,116.66,58.95,100.9,43.34,59.73,104.36,48.15,62.28,20,35.49,84.18,43.42,43.81,44.5,45.65,75.09,62.78,40.61,65.23,59.29
"LILRA6",20,22.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.97,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LILRB1",83.4,20,75.21,32.23,62.3,91.12,26.6,78.03,20,40.14,121.93,20,60.18,39.09,83.79,73.29,20,290.69,151.01,69.9,402.86,255.16,1388.23,789.47,114.8,35.36,46.57,36.45,31.77,32.12,74.96,43.4,20,20,79.42,20,20,20,42.74,20,20,21.39,27.6,20,45.78,26.13,20,31.03,20,73.78,38.44,20,20,20,43.34,29.86,20,20,20,20,22.68,20,20,20,38.05,42.5,20,20,20,34.54,20.45
"LILRB2",155.08,149.03,115.62,216.72,136.15,153.15,131.65,169.56,279.98,215.58,174.53,173.33,177.67,237.42,250.1,96.44,143.49,177.25,311.92,347.45,159.96,81.23,145.42,89.13,212.92,51.95,201.33,172.76,158.87,182.03,161.81,199.31,268.21,204.25,263.33,271.58,389.47,279.17,287.36,157.01,87.33,241.31,213.49,122.71,211.3,88.83,95.48,105.73,113.18,67.8,76.87,50.9,64.56,79.46,68.63,64.25,106.33,63.13,56.17,43.89,41.41,84.18,80.05,105.99,130.93,75.55,101.79,151.06,93.62,66.19,76.67
"LILRB3",46.91,73.4,43.78,114.47,38.07,67.85,79.79,88.53,125.06,57.98,89.66,61.31,41.55,170.82,65.03,199.3,430.48,581.39,700.58,464.63,320.91,164.55,302.03,249.77,344.4,36.8,172.57,107.15,165.74,215.68,72.22,136.63,325.1,761.81,327.42,719.01,689.91,541.91,453.88,41.87,152.45,91.56,168.04,20,35.22,151.53,34.86,40.22,65.34,20,20,44.54,42.11,56.76,43.34,29.86,53.16,26.75,53.73,30.73,32.53,55.74,32.56,48.05,40.63,56.67,71.75,66.7,50.76,54.68,26.58
"LILRB4",31.28,42.26,39.29,41.12,30,56.22,50.53,67.52,52.26,59.47,66.94,56.6,60.18,72.38,63.78,29.57,42.11,20,69.32,53.45,27.65,26.04,20,20,24.53,20,28.76,27.7,27.48,39.77,32.91,30.54,35.99,20,75.24,93.78,20,58.65,82.52,23.79,20,27.38,39.78,20,45.08,23.51,20,20,20,20,20,20,20,20,20,20,63.01,42.8,32.97,42.43,40.42,43.23,28.49,20,20,44.07,51.73,56.89,38.35,30.7,36.8
"LILRB5",20,20,20,20,20,46.53,30.58,20,37.33,20,20,20,20,20,20,20,20,20,20,45.23,25.67,23.95,57.05,40.16,36.3,20,32.87,20,20,20,20,20,25.54,20,33.44,41.03,20,20,20,20,20,20,20,20,20,20,33.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,38.38,51.01,20,20,23.51
"LIMK1",26.06,22.24,25.82,20,20,20,20,20,20,20,27.49,23.58,20,20,26.26,42.43,60.83,58.49,51.99,69.9,38.51,62.49,63.76,67.58,85.36,42.57,20,53.21,51.52,52.01,63.99,54.65,40.64,20,47.37,54.71,85.31,46.92,47.16,21.89,29.6,34.23,70.62,42.02,45.78,24.38,20,25.28,24.5,20,20,20,20,20,20,21.72,20,20,20,20,20,20,20,20,25.15,20,20,20,24.82,25.9,24.54
"LITAF",390.95,491.58,307.56,629.05,258.45,666.9,496.01,577.7,558.1,368.71,607.28,580.11,253.61,871.5,490.21,1292.27,1949.62,2720.83,3116.73,1576.87,761.29,931.08,1201.42,776.73,1422.75,514.48,1038.17,421.32,605.42,688.33,474.46,631.69,865,4076.81,1269.26,4462.55,3827.9,2477.31,2136.75,381.57,1067.18,546.8,737.09,344.6,491.64,809.06,418.27,348.21,628.89,348.95,395.9,530.25,341.06,457.82,426.2,438,303.23,216.13,297.96,179.96,225.77,390.17,241.51,305.26,410.22,261.29,327.06,335.47,318.08,388.52,270.92
"LTA",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.97,23.51,21.59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LTB",208.51,384.81,182.96,320.08,278.06,168.66,276.59,166.56,162.39,246.8,162.58,209.88,156.18,196.88,221.34,271.31,510.02,467.95,438.17,503.69,187.61,313.48,334.47,264.46,302.21,168.13,152.03,298.86,304.85,221.8,268.77,368.09,278.66,372.63,303.73,363.41,637.98,469.19,383.14,160.81,273.83,227.62,286.55,331.15,212.71,137.6,212.17,185.02,253.19,370.88,319.03,301.18,134.04,199.27,297.98,248.86,112.24,92.01,142.87,158.02,133.1,127.4,124.82,145.57,163.83,187.31,161.86,211.87,217.7,134.3,245.36
"LTB4R",40.4,68.95,23.57,45.57,46.15,54.28,62.5,67.52,69.06,31.22,60.97,76.64,28.66,76.73,57.52,72.01,193.4,182.57,254.98,152.14,88.87,53.12,68.24,64.65,87.33,20,79.44,32.07,32.63,56.6,20.11,27.33,91.73,195.97,90.56,150.44,307.86,194.71,116.42,24.74,88.81,38.51,45.46,33.62,20.43,78.38,37.89,20,42,20,38.44,20,32.98,44.14,20,27.15,20,20,24.42,20,20,45.5,20,20,22.57,33.06,20,20,22.56,22.06,20
"LTB4R2",26.06,20,20,20,23.08,20,20,20,20,20,20,20,20,28.95,20,29.57,31.19,20,49.51,20,21.72,29.16,39.15,28.41,35.32,20,28.76,21.14,20,20,29.25,20.9,24.38,20,20,20,20,20,20,20,20,20,21.11,36.98,20,23.51,20,20,23.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.45
"LTBR",26.06,26.69,20,31.12,30,48.47,49.2,48.02,108.26,40.14,50.21,58.95,38.69,111.47,65.03,75.86,92.02,101.03,116.35,104.85,35.55,40.62,64.88,57.79,58.87,22.37,53.42,21.87,38.64,20,20,31.34,34.83,82.81,124,146.54,170.62,119.64,88.42,33.3,82.89,62.47,76.31,38.66,69.03,45.29,20,20,20,20,20,20,20,20,20,20,20,22.47,20,20,20,31.85,33.92,20,30.96,20,33.37,20,27.07,31.66,27.6
"LTF",76.89,265.81,37.04,33.34,73.84,112.44,75.8,118.54,80.26,59.47,125.52,73.1,58.75,130.29,120.05,190.3,109.18,226.88,190.62,222.04,285.36,22.91,139.83,174.35,614.23,694.15,1331.27,24.05,79,330.4,73.13,56.26,30.19,118.69,139.33,109.41,152.08,138.41,327.14,23.79,150.97,30.81,23.54,20,20,607.01,20,186.17,51.34,20,40.36,50.9,428.78,90.81,20,82.35,2165.96,537.11,356.57,172.65,627.03,387.9,139.75,132.85,29.02,77.13,243.63,98.09,38.35,42.21,77.7
"LTK",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"LY96",147.26,150.14,101.02,243.39,203.07,401.3,288.56,309.11,375.18,291.4,523.6,455.13,270.8,648.56,530.22,884.66,889.03,989.07,1222.93,1120.46,351.52,292.65,426.2,415.3,229.6,76.49,272.55,81.64,105.63,123.9,81.36,130.2,249.63,1366.3,861.04,1109.78,1339.02,1337.19,778.07,173.18,1053.86,279.82,239.47,102.54,238.77,376.22,125.78,137.9,156.35,123.63,155.67,125.14,121.41,94.59,97.52,104.97,145.71,83.45,106.24,55.6,51.27,222.96,86.83,86.21,163.18,119.63,130.16,141.25,74.45,141.98,105.3
"MAF",140.74,137.91,193.07,126.7,133.84,124.07,106.38,165.06,80.26,129.35,160.19,194.55,180.54,137.53,156.32,178.73,215.24,230.43,111.4,145.97,132.31,129.14,137.59,124.4,130.5,128.44,108.2,185.88,177.76,108.6,230.37,183.24,164.87,80.05,119.82,78.15,89.02,82.11,176.83,169.38,136.17,106.11,77.12,166.42,151.44,107.12,172.76,109.17,103.84,167.49,159.51,133.62,97.55,54.23,90.3,107.69,104.36,101.64,73.27,77.55,74.93,102.38,81.41,97.51,103.84,113.33,98.45,70.62,120.69,107.44,129.84
"MAFF",40.4,31.14,25.82,20,38.07,48.47,34.57,43.52,41.06,41.63,35.86,24.76,35.82,39.09,38.77,68.15,53.03,76.22,76.74,41.12,68.13,37.49,80.54,53.87,89.29,61.33,71.22,37.18,39.5,20,37.48,33.75,20,74.53,48.76,46.89,85.31,53.96,66.31,31.4,78.45,48.78,53.58,82.37,28.88,77.51,20,31.03,30.34,20,44.2,42.42,28.77,20,20,21.72,20,24.61,40.3,30.73,20,20,37.99,32.5,20,51.94,40.05,54.93,31.58,25.9,31.69
"MAFG",66.46,116.78,84.19,88.91,87.69,91.12,75.8,121.54,104.53,95.15,94.44,93.15,97.43,108.58,108.8,128.58,168.45,186.12,195.57,160.36,189.58,118.73,177.86,118.52,180.54,66.38,126,130.48,131.39,119.31,114.27,121.36,125.4,195.97,146.29,195.38,218.84,129.03,182.73,92.3,131.73,111.24,124.2,164.74,104.95,125.41,65.17,67.8,103.84,89.73,67.27,127.26,114.39,156.39,88.49,99.54,86.64,58.85,94.03,71.69,73.94,48.91,54.27,66.42,82.56,47.22,56.73,20,64.29,73.87,65.43
"MAFK",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49.91,47.86,20,51.4,26.66,41.66,61.53,45.06,62.8,20,27.39,40.82,41.22,20,30.17,36.97,31.35,20,52.94,20,20,60.99,51.58,20,20,20,38.96,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"MALT1",414.41,458.22,432.16,376.76,515.74,238.46,404.25,352.62,287.45,462.38,505.67,529.41,412.65,408.24,546.48,408.9,549.01,505.17,358.96,483.13,238.95,366.6,532.47,381.02,274.74,241.01,169.83,452.66,437.96,371.7,499.14,394.61,267.05,207.01,307.91,283.31,204.01,443.38,397.88,281.66,253.1,253.29,280.87,389.99,338.79,188.98,210.65,228.69,210.02,342.96,194.11,254.52,186.67,153.87,303.4,206.33,149.65,201.15,122.11,175.57,184.36,241.16,261.86,284.06,348.94,220.37,206.91,176.56,263.94,282.04,287.27
"MAP2K1",106.86,107.88,78.57,97.8,117.69,98.87,126.33,85.53,113.86,123.4,101.61,95.51,77.37,118.71,122.55,124.73,71.75,116.99,123.78,82.24,89.85,117.69,303.15,245.85,98.12,131.33,84.92,87.47,72.13,42.83,86.85,71.53,62.7,69,91.96,66.43,100.15,65.69,114.94,105.62,113.97,88.99,84.42,137.84,118.33,99.28,77.29,72.4,84.01,109.67,103.78,93.32,71.58,59.28,101.13,96.83,72.85,68.48,50.07,65.84,56.2,45.5,65.12,87.62,86.43,64.54,71.75,62.78,91.36,82.5,69.52
"MAP2K4",744.12,527.17,715.02,722.4,1007.25,721.18,719.41,765.27,735.42,1123.98,824.85,761.69,882.62,741.21,1087.96,797.22,1066.83,880.95,1057.06,1186.25,776.1,772.77,1381.52,1129.35,591.67,391.09,483.48,771.93,579.65,789.29,716.72,552.93,744.25,775.61,613.04,789.35,589.76,1015.79,682.29,737.45,738.59,741.9,426.99,943.03,584.61,491.18,875.95,692.97,520.38,1038.86,738,884.46,491.24,442.69,789.19,535.73,693.11,486.82,527.53,744.73,423.94,649.53,488.44,587.92,683.7,525.74,759.24,725.87,635.04,1057.17,759.59
